,Type_of_Accomordation,Location_of_Accomodation,Info_Of_Accomordation,No_of_guest,Rooms,Beds,Bath,Ratings,Review,Total/Night
1,Entire rental unit ,Kihei,3 minutes walk to the beach 2BR/2BA Top floor,4 guests , 2 bedrooms , 3 beds , 2 baths,4.85 ,171 reviews ,$496 CAD per night
3,Entire bungalow ,Pepeekeo,Heavenly Hakalau: Oceanfront Cliff House,4 guests , 2 bedrooms , 2 beds , 2 baths,4.97 ,154 reviews ,$734 CAD per night
5,Entire condo ,Honolulu,STUNNING PENTHOUSE -  100FT TO BEACH - LEGAL!!,4 guests , 1 bedroom , 1 bed , 2 baths,4.95 ,110 reviews ,$523 CAD per night
9,Entire condo ,Honolulu,2 Bedroom Condo With Parking,4 guests , 2 bedrooms , 2 beds , 1 bath,4.80 ,202 reviews ,$397 CAD per night
10,Entire condo ,Pr,OCEAN FRONT 2b/2ba Amazing Views! Princeville pool,4 guests , 2 bedrooms , 2 beds , 2 baths,4.95 ,204 reviews ,$638 CAD per night
11,Entire home ,Mounta,A/C All Rms/WorkStations/Dishwasher AlohaHaleNohea,8 guests , 3 bedrooms , 3 beds , 2 baths,4.96 ,217 reviews ,$332 CAD per night
12,Entire condo ,WaileaMakena,HGTV Inspired Remodel! Ocean View & min. to beach!,6 guests , 2 bedrooms , 3 beds , 2 baths,4.95 ,192 reviews ,$765 CAD per night
13,Entire condo ,Laha,Steps to beach! - beautiful Kahana Manor condo,6 guests , 2 bedrooms , 3 beds , 2 baths,4.78 ,94 reviews ,$433 CAD per night
16,Entire home ,Laha,Tutu's Hale,6 guests , 3 bedrooms , 4 beds , 1 bath,4.80 ,69 reviews ,$572 CAD per night
17,Entire townhouse ,Koloa,Sleeps 10! Walk to beach- AC Units- Pool- Hot Tub,11 guests , 3 bedrooms , 5 beds , 2.5 baths,4.84 ,51 reviews ,$773 CAD per night
18,Entire condo ,Kapaa,"BIG Ocean View, pool,Full Kitchen, King, WiFi, 203",4 guests , 2 bedrooms , 2 beds , 1 bath,4.87 ,149 reviews ,$493 CAD per night
19,Entire home ,Capta,Makai Hideaway,8 guests , 3 bedrooms , 8 beds , 3 baths,4.86 ,166 reviews ,$452 CAD per night
20,Entire villa ,Honolulu,Popular Promenade Waikiki- Diamond Head.,6 guests , 2 bedrooms , 3 beds , 2 baths,4.86 ,57 reviews ,$475 CAD per night
22,Entire condo ,KailuaKona,Lovely Remodeled 3rd Floor Ocean Front Condo #312,5 guests , 2 bedrooms , 3 beds , 2 baths,4.96 ,52 reviews ,$566 CAD per night
24,Entire condo ,Kihei,Bright & Spacious Two Bedroom Maui Condo,5 guests , 2 bedrooms , 3 beds , 2 baths,4.86 ,37 reviews ,$355 CAD per night
27,Entire rental unit ,Kihei,3 minutes walk to the beach 2BR/2BA Top floor,4 guests , 2 bedrooms , 3 beds , 2 baths,4.85 ,171 reviews ,$496 CAD per night
29,Entire cottage ,KailuaKona,3 bedrm Ohana-3 miles to town/beach Book  Summer,5 guests , 3 bedrooms , 3 beds , 1 bath,5.0 ,9 reviews ,$299 CAD per night
32,Entire condo ,KailuaKona,Sunset views and sound of the ocean!!,4 guests , 2 bedrooms , 2 beds , 2 baths,5.0 ,34 reviews ,$576 CAD per night
33,Entire home ,KailuaKona,PrIvate pool home in gated community with AC.,8 guests , 3 bedrooms , 3 beds , 2.5 baths,5.0 ,7 reviews ,$944 CAD per night
36,Entire rental unit ,Pr,Pali Ke Kua Oceanview.  Relax. Restore. Revive!,4 guests , 2 bedrooms , 3 beds , 2 baths,4.95 ,136 reviews ,$665 CAD per night
37,Entire cottage ,Kapaa,OCEANFRONT Rhythm -2 Bd/1 bth Beachfront TVNC 4288,4 guests , 2 bedrooms , 2 beds , 1 bath,4.91 ,105 reviews ,$764 CAD per night
38,Entire condo ,KailuaKona,Oceanview on Golf Course 3 Pools Air,6 guests , 3 bedrooms , 5 beds , 3 baths,4.86 ,14 reviews ,$429 CAD per night
42,Entire condo ,Kihei,Upscale Pool View 2 level Condo,4 guests , 2 bedrooms , 2 beds , 2 baths,4.88 ,35 reviews ,$368 CAD per night
43,Entire home ,KailuaKona,Halia Hale,6 guests , 3 bedrooms , 3 beds , 2 baths,4.96 ,104 reviews ,$749 CAD per night
44,Entire condo ,KailuaKona,Kona Coffee Villas B216 Lovely cooler elevation condo with ocean views.,4 guests , 2 bedrooms , 2 beds , 2 baths,5.0 ,5 reviews ,$243 CAD per night
45,Entire home ,HaikuPauwela,Hookipa Farm: County Legal 3 Bedroom Home in Haiku,6 guests , 3 bedrooms , 4 beds , 2.5 baths,5.0 ,27 reviews ,$972 CAD per night
47,Entire condo ,Laha,"2BR2BA+Lanai: views,AC,hot tub,pool,steps to beach",6 guests , 2 bedrooms , 3 beds , 2 baths,4.92 ,53 reviews ,$788 CAD per night
49,Entire vacation home ,Lihue,Amazing Views from this Oceanfront Home,4 guests , 2 bedrooms , 2 beds , 2 baths,empty,,$569 CAD per night
