,listing_Location,Listing_Name,Features,Price,Rating_Review
0,Entire rental unit in Kailua-Kona,★ Huge 3br/3ba ★ Amazing Ocean Views ★ Top rated ★,8 guests · 3 bedrooms · 5 beds · 3 baths,",&nbsp;",4.87 (187 reviews)
1,Entire rental unit in Kihei,3 minutes walk to the beach 2BR/2BA Top floor,4 guests · 2 bedrooms · 3 beds · 2 baths,$496 CAD per night,4.85 (171 reviews)
2,Entire guest suite in Honolulu,Honolulu Hale with free parking,6 guests · 2 bedrooms · 2 beds · 1 bath,$381 CAD per night,4.83 (124 reviews)
3,Entire bungalow in Pepeekeo,Heavenly Hakalau: Oceanfront Cliff House,4 guests · 2 bedrooms · 2 beds · 2 baths,$734 CAD per night,4.97 (154 reviews)
4,Entire rental unit in Kihei,Beautiful Oceanfront Condo,6 guests · 2 bedrooms · 2 beds · 2 baths,$431 CAD per night,4.77 (158 reviews)
5,Entire condo in Honolulu,STUNNING PENTHOUSE -  100FT TO BEACH - LEGAL!!,4 guests · 1 bedroom · 1 bed · 2 baths,$523 CAD per night,4.95 (110 reviews)
6,Entire condo in Kihei,Toast the Sunset in a Dreamy Island Penthouse Loft,6 guests · 2 bedrooms · 4 beds · 2 baths,",&nbsp;",5.0 (111 reviews)
7,Entire home in Keaau,Paradise Energy House ✔ King Bed ✔ Self Check-In,7 guests · 2 bedrooms · 5 beds · 2 baths,$361 CAD per night,4.96 (524 reviews)
8,Entire home in Volcano,Private Volcano Golf and Country Club Home,6 guests · 2 bedrooms · 2 beds · 2 baths,",&nbsp;",4.85 (346 reviews)
9,Entire condo in Honolulu,2 Bedroom Condo With Parking,4 guests · 2 bedrooms · 2 beds · 1 bath,$397 CAD per night,4.80 (202 reviews)
10,Entire condo in Princeville,OCEAN FRONT 2b/2ba Amazing Views! Princeville pool,4 guests · 2 bedrooms · 2 beds · 2 baths,$638 CAD per night,4.95 (204 reviews)
11,Entire home in Mountain View,A/C All Rms/WorkStations/Dishwasher AlohaHaleNohea,8 guests · 3 bedrooms · 3 beds · 2 baths,"$332 CAD per night, originally $358",4.96 (217 reviews)
12,Entire condo in Wailea-Makena,HGTV Inspired Remodel! Ocean View & min. to beach!,6 guests · 2 bedrooms · 3 beds · 2 baths,$765 CAD per night,4.95 (192 reviews)
13,Entire condo in Lahaina,Steps to beach! - beautiful Kahana Manor condo,6 guests · 2 bedrooms · 3 beds · 2 baths,$433 CAD per night,4.78 (94 reviews)
14,Entire condo in Lahaina,Escape to Paradise at The Paki Maui,4 guests · 1 bedroom · 2 beds · 1 bath,$304 CAD per night,4.78 (125 reviews)
15,Entire rental unit in Maunaloa,"Molokai,Ocean View,2bedrooms,upstairs,NOT ON  MAUI",4 guests · 2 bedrooms · 2 beds · 1 bath,"$178 CAD per night, originally $199",4.68 (166 reviews)
16,Entire home in Lahaina,Tutu's Hale,6 guests · 3 bedrooms · 4 beds · 1 bath,$572 CAD per night,4.80 (69 reviews)
